Lat,Lon,BNPP,MAT,MAP,SOL,PET,AI,STN,SOC,PH,BD,CN,SILT,CLAY,ELEV,ASP,SLOPE,Formation
45.53,-102,399,7.13667,425,168089,1399,3037,0.68538,5.59112,6.92448,1.49646,8.163,34.481,23.9124,725,119.344,0.380246,"Temperate Grassland, Meadow & Shrubland"
45.78,-110.78,471,2.47467,569,166699,1160,4897,0.56317,10.2855,5.56711,1.53371,18.3412,42.2532,16.0286,2303,114.689,5.05156,Cool Semi-Desert Scrub & Grassland
44.7,120.85,862,6.56667,392,181587,1465,2675,0.53308,4.3608,7.1963,1.315,8.1803,32.135,20.235,356,185.358,1.12844,"Temperate Grassland, Meadow & Shrubland"
44.625,-110.085,561.7023333,0.695,602,171342,1071,5622,0.613034,8.03724,5.8816,1.64182,13.1108,38.0742,15.5976,2516,300.383,8.0576,Cool Semi-Desert Scrub & Grassland
44.6,123.54,247.401,6.03667,420,180446,1336,3145,0.588,6.259,7.401,1.26902,10.6444,22.2998,17.4226,140,0,0.0352237,"Temperate Grassland, Meadow & Shrubland"
44.6,123.54,363.862,6.03667,420,180446,1336,3145,0.588,6.259,7.401,1.26902,10.6444,22.2998,17.4226,140,0,0.0352237,"Temperate Grassland, Meadow & Shrubland"
44.46,-93.15,303.659,7.05,788,156515,1081,7287,0.637864,6.4227,6.09578,1.53524,10.0882,39.2426,15.6298,290,310.292,0.448369,"Temperate Grassland, Meadow & Shrubland"
44.46,-93.15,519.512,7.05,788,156515,1081,7287,0.637864,6.4227,6.09578,1.53524,10.0882,39.2426,15.6298,290,310.292,0.448369,"Temperate Grassland, Meadow & Shrubland"
44.57416667,123.5186111,384.307,6.07572,435,178990,1338,3252,0.611608,6.17581,7.3083,1.26822,10.0978,34.8148,26.0867,148,21.2153,0.233875,"Temperate Grassland, Meadow & Shrubland"
44.56666667,122.9166667,878.409,6.39167,431,179516,1390,3100,0.54058,5.1701,7.4511,1.3168,9.5641,22.377,21.494,151,15.8064,0.0402166,"Temperate Grassland, Meadow & Shrubland"
44.56666667,122.9166667,897.523,6.39167,431,179516,1390,3100,0.54058,5.1701,7.4511,1.3168,9.5641,22.377,21.494,151,15.8064,0.0402166,"Temperate Grassland, Meadow & Shrubland"
44.7,123.7583333,66.934,5.73333,436,178654,1312,3321,0.63034,6.3818,7.5524,1.2585,10.124,25.571,24.303,153,78.2001,0.0745932,"Temperate Grassland, Meadow & Shrubland"
43.43,-103.47,272,8.44933,431,179765,1525,2826,0.471652,5.48214,7.21478,1.55058,11.6164,35.3331,17.1745,1107,246.097,6.03349,"Temperate Grassland, Meadow & Shrubland"
43.43,-103.47,245,8.44933,431,179765,1525,2826,0.471652,5.48214,7.21478,1.55058,11.6164,35.3331,17.1745,1107,246.097,6.03349,"Temperate Grassland, Meadow & Shrubland"
43.43,-103.47,176,8.44933,431,179765,1525,2826,0.471652,5.48214,7.21478,1.55058,11.6164,35.3331,17.1745,1107,246.097,6.03349,"Temperate Grassland, Meadow & Shrubland"
43.43,-103.47,123,8.44933,431,179765,1525,2826,0.471652,5.48214,7.21478,1.55058,11.6164,35.3331,17.1745,1107,246.097,6.03349,"Temperate Grassland, Meadow & Shrubland"
43.72,116.63,954.4,1.055,309,183390,1196,2579,0.497411,4.80226,7.11398,1.33064,9.65666,21.361,14.5501,1197,131.705,2.00313,"Temperate Grassland, Meadow & Shrubland"
43.72,116.63,786.5,1.055,309,183390,1196,2579,0.497411,4.80226,7.11398,1.33064,9.65666,21.361,14.5501,1197,131.705,2.00313,"Temperate Grassland, Meadow & Shrubland"
43.63,116.7,403.3333333,1.12667,317,183610,1188,2668,0.523562,5.72438,6.97756,1.26544,10.9426,26.4396,13.102,1184,212.733,0.571753,"Temperate Grassland, Meadow & Shrubland"
43.63,116.7,114,1.12667,317,183610,1188,2668,0.523562,5.72438,6.97756,1.26544,10.9426,26.4396,13.102,1184,212.733,0.571753,"Temperate Grassland, Meadow & Shrubland"
43.96,116.37,164,1.29633,283,185114,1224,2314,0.494721,4.67372,7.09014,1.38066,9.45588,24.875,16.1252,1133,194.511,0.827889,"Temperate Grassland, Meadow & Shrubland"
43.71666667,116.6333333,265.4,1.05833,308,183586,1195,2576,0.50134,4.4731,7.1175,1.3091,8.9224,12.417,12.135,1182,124.715,1.36104,"Temperate Grassland, Meadow & Shrubland"
43.43333333,116.0666667,249.875,0.275,322,185019,1176,2737,0.58696,6.1847,6.6234,1.1977,10.537,28.49,19.066,1440,9.95255,1.87244,"Temperate Grassland, Meadow & Shrubland"
43.71666667,116.6333333,179.7,1.05833,308,183586,1195,2576,0.50134,4.4731,7.1175,1.3091,8.9224,12.417,12.135,1182,124.715,1.36104,"Temperate Grassland, Meadow & Shrubland"
43.63333333,116.7,584.437,1.11667,318,183346,1189,2673,0.49979,5.5341,7.0786,1.2724,11.073,27.248,13.458,1188,211.5,0.576684,"Temperate Grassland, Meadow & Shrubland"
43.28333333,-89.36666667,465,7.55,842,157753,1067,7886,0.61703,8.1735,6.429,1.4448,13.247,59.155,23.218,296,190.655,0.363227,"Temperate Grassland, Meadow & Shrubland"
43.175,-90.067,400.99,7.90133,808,157444,1064,7584,0.799415,5.70793,6.15644,1.53372,7.15064,44.154,12.5813,221,134.001,0.0801055,"Temperate Grassland, Meadow & Shrubland"
43.13333333,-88.86666667,571,7.925,832,158059,1075,7736,0.67391,7.9469,6.1564,1.4917,11.792,52.108,22.747,241,273.515,0.435894,"Temperate Grassland, Meadow & Shrubland"
43.63333333,116.7,870.9396667,1.11667,318,183346,1189,2673,0.49979,5.5341,7.0786,1.2724,11.073,27.248,13.458,1188,211.5,0.576684,"Temperate Grassland, Meadow & Shrubland"
43.55083333,116.6752778,437.182,1.04369,321,184259,1193,2689,0.51079,4.66117,7.01148,1.28961,9.13114,16.2364,11.2885,1263,246.221,0.385254,"Temperate Grassland, Meadow & Shrubland"
43.54694444,116.6886111,443.124,1.01362,322,184151,1189,2706,0.511558,4.81117,7.013,1.31175,9.40597,19.0618,11.8457,1269,279.221,0.849485,"Temperate Grassland, Meadow & Shrubland"
43.95,-101.87,547,8.49333,434,174440,1504,2881,0.819952,7.58558,6.95922,1.67604,9.24662,39.4378,49.4508,737,17.7538,1.12621,"Temperate Grassland, Meadow & Shrubland"
43.75,-112,68,6.26667,298,179166,1344,2215,0.63548,8.3047,7.5667,1.496,13.068,39.312,24.884,1463,264.546,0.132235,Cool Semi-Desert Scrub & Grassland
43.75,-112,98,6.26667,298,179166,1344,2215,0.63548,8.3047,7.5667,1.496,13.068,39.312,24.884,1463,264.546,0.132235,Cool Semi-Desert Scrub & Grassland
43.82,-111.78,42,5.88667,364,177241,1316,2763,0.594558,8.06944,7.3302,1.50547,13.5625,42.7842,23.4985,1504,324.354,2.22397,Cool Semi-Desert Scrub & Grassland
43.82,-111.78,164,5.88667,364,177241,1316,2763,0.594558,8.06944,7.3302,1.50547,13.5625,42.7842,23.4985,1504,324.354,2.22397,Cool Semi-Desert Scrub & Grassland
44,-112,217,5.875,304,176950,1351,2248,0.59879,7.0916,7.3554,1.5131,11.843,40.292,22.769,1572,214.403,1.41293,Cool Semi-Desert Scrub & Grassland
42.78,112.7,940.9,4.92333,201,194210,1592,1259,0.481334,2.40494,7.62394,1.44108,4.99638,11.8192,9.60644,1093,192.449,0.342942,Cool Semi-Desert Scrub & Grassland
42.78,112.7,900.3,4.92333,201,194210,1592,1259,0.481334,2.40494,7.62394,1.44108,4.99638,11.8192,9.60644,1093,192.449,0.342942,Cool Semi-Desert Scrub & Grassland
43.03,-89.43,1073.333333,7.847,833,158908,1074,7753,0.612158,7.17623,6.4125,1.51268,11.735,58.2434,22.143,291,61.1683,0.878327,"Temperate Grassland, Meadow & Shrubland"
42.38333333,110.3833333,605.4,5.66667,174,196921,1638,1061,0.45616,2.3589,7.6766,1.3942,5.1712,32.2,17.74,1126,141.755,0.20227,Cool Semi-Desert Scrub & Grassland
42.21666667,116,992,2.60833,366,185714,1265,2891,0.46685,5.0025,7.0473,1.2741,10.715,30.489,19.434,1334,31.3363,1.19453,"Temperate Grassland, Meadow & Shrubland"
42.04,116.3,569.185,3.115,406,184888,1259,3224,0.472892,5.20296,6.97696,1.26654,11.0038,28.9618,17.6636,1333,268.286,1.80522,"Temperate Grassland, Meadow & Shrubland"
42.04,116.3,226.38,3.115,406,184888,1259,3224,0.472892,5.20296,6.97696,1.26654,11.0038,28.9618,17.6636,1333,268.286,1.80522,"Temperate Grassland, Meadow & Shrubland"
42.03333333,116.2833333,165.342,3.08333,405,184850,1260,3213,0.4733,5.3421,6.7877,1.2518,11.287,31.22,17.487,1344,215.99,1.76482,"Temperate Grassland, Meadow & Shrubland"
42.27916667,112.7955556,806.2625,4.61722,231,191940,1512,1526,0.479249,2.83322,7.55017,1.46458,5.91193,24.5109,15.6567,1196,118.648,0.203194,Cool Semi-Desert Scrub & Grassland
42.03333333,116.2833333,661.199,3.08333,405,184850,1260,3213,0.4733,5.3421,6.7877,1.2518,11.287,31.22,17.487,1344,215.99,1.76482,"Temperate Grassland, Meadow & Shrubland"
42.03333333,116.2833333,728.7223725,3.08333,405,184850,1260,3213,0.4733,5.3421,6.7877,1.2518,11.287,31.22,17.487,1344,215.99,1.76482,"Temperate Grassland, Meadow & Shrubland"
41.62,110.97,99.2,3.69533,239,194889,1469,1624,0.512231,4.03825,7.0457,1.46418,7.88227,38.6833,20.5202,1500,17.9819,0.409376,Cool Semi-Desert Scrub & Grassland
41.13,-104.82,263.6643,7.768,388,188866,1615,2399,0.509751,4.94245,6.81265,1.54307,9.69593,22.6356,21.6026,1848,117.454,0.273053,"Temperate Grassland, Meadow & Shrubland"
