"Lat","Mean","SD"
-54,572.48321949094,28.4805178143315
-53,575.250839427523,26.4801923826321
-52,577.071919338816,31.359664120224
-51,584.16517263293,34.7705568833277
-50,590.953932301667,34.5792217627896
-49,593.875275472756,33.658913855904
-48,595.063568484831,37.7423813061228
-47,575.381498398323,61.0491121285291
-46,560.712315053635,71.0924026313948
-45,547.433383295363,75.2077061757474
-44,537.836184060218,71.5395112363894
-43,541.056124734815,65.6467228587957
-42,536.162050577325,57.1080437664274
-41,529.609435609542,52.274261645337
-40,509.661890280118,63.0115761660059
-39,486.606323142573,67.4918715801979
-38,460.843989080072,70.2127663225887
-37,446.795227263739,64.9745231693493
-36,442.471654820486,63.6143582501287
-35,442.456283226712,68.4793876369778
-34,442.570928337441,67.806381535353
-33,438.109691882583,68.4964557747865
-32,432.140424088603,68.4948161756764
-31,425.220141805918,65.4884335119645
-30,422.86726926106,68.1969943757524
-29,425.888264459119,73.7443068056825
-28,431.209203100944,81.5685591853636
-27,433.537247296479,87.1830516812348
-26,436.715166259204,94.967329560792
-25,458.205024197153,120.353813385842
-24,498.286181321588,145.730552122208
-23,540.462201120113,157.200269158949
-22,586.839351759768,163.922685478872
-21,618.06463439032,162.943255866431
-20,638.083528755397,159.182276799733
-19,648.949080696872,154.989989947504
-18,654.632579359515,152.841596418914
-17,662.735829919351,153.787101510599
-16,668.846909236087,159.276403312119
-15,688.937121211588,167.565191337122
-14,711.143707409886,169.874580601217
-13,724.01443917668,170.165245407876
-12,741.010389688761,170.885384106958
-11,752.987715398583,173.226971111323
-10,764.937688407062,180.544943516243
-9,783.529454334147,177.121904500974
-8,790.34049725253,173.574945841814
-7,775.279213163361,179.123622752611
-6,717.072971165243,197.891896001324
-5,655.899042827704,200.357981573812
-4,587.074869106066,185.345696812953
-3,564.026272935467,179.419411133437
-2,605.284931560474,199.273653086275
-1,649.566223183781,209.701137703909
0,693.826843884567,205.27944976911
1,745.153780207448,193.495054760949
2,786.871023721603,178.194738975944
3,807.972182847184,161.800196057184
4,813.460284863405,159.935123763267
5,816.931056002547,160.825588224938
6,822.921105435598,160.44654402035
7,825.109459562636,157.163875762994
8,818.554504704447,153.598124240644
9,813.713459439988,144.76558329437
10,812.462660969774,135.675485136061
11,821.098357048067,126.870511848049
12,844.488231582463,113.795726631576
13,867.429417678962,103.551659415224
14,879.766502719417,93.5187450896772
15,885.762094630661,83.5590837416771
16,884.015579658893,76.270125036675
17,880.921277607394,68.9808735301508
18,876.352587406845,64.1264802592878
19,872.626045716102,57.6851443771745
20,871.432845135884,50.3248007495248
21,849.738276343,27.3135950755925
22,838.414728322791,10.9113937839647
23,386.74822596469,26.5473303933493
24,404.165051620672,32.9094107270449
25,407.23762983177,28.8060550011363
26,411.459287957152,36.9114267827744
27,442.566049714412,80.8385605835395
28,456.584596015773,85.6558166862646
29,467.710457387466,93.051817826206
30,475.514389176107,97.8100458063697
31,477.762574875202,96.7926984787584
32,483.415215105287,98.2665178800489
33,486.741044412547,97.9039998093146
34,485.109517681712,96.6762929189711
35,480.131148972988,94.9539539369255
36,471.150707890539,90.6144699950291
37,461.682839818846,85.1774076685297
38,454.244611837879,77.4077213678866
39,449.514289059112,68.5351922413633
40,445.321719592632,61.9536977496402
41,446.569766007586,63.0756088687891
42,451.353988322439,67.6110395256172
43,454.701052129784,68.5169818771129
44,457.490648509755,68.0029087348911
45,455.880052715541,59.9097493103611
46,454.039797798266,53.5460987345603
47,454.62731591284,53.9256960257222
48,456.454340525216,56.3461991031335
49,459.709255701402,61.4661913076904
50,463.514473455097,65.3829563645427
51,464.969500488701,67.0083371310267
52,468.062046425593,67.5261477245935
53,473.234449877676,66.2874908415771
54,482.534769303779,66.5743487009999
55,491.170473866328,67.2004384447092
56,503.852706515145,66.6295725972172
57,515.674388464705,64.3006278294659
58,475.309909858373,62.821589834408
59,434.802939582096,31.4842384372098
60,439.573717140149,32.6282149504721
61,437.971907013812,33.7761538739818
62,438.025856216406,34.2716913358663
63,438.294565997284,34.2613564188874
64,427.758094935118,33.7333839938066
65,430.163916185773,37.65577388522
66,448.037988996117,45.3832030834405
67,453.341743684466,48.1673350143213
68,459.486134334278,49.6800501378755
69,455.138045660808,53.1434203707421
70,448.38761822929,53.915190910931
71,442.011150500052,53.4219246184053
