"Lat","Mean","SD"
-54,301.429371210653,28.673243814006
-53,284.057044311044,32.4859477642495
-52,270.362350434938,33.9633660119663
-51,262.056615854356,29.5138219954499
-50,257.144898943064,25.1742033886178
-49,257.374022968436,24.461920457634
-48,263.556911527861,31.5584892367633
-47,284.608779014391,61.5163527696564
-46,301.818556867211,73.767431221724
-45,313.772389478851,79.5984907463068
-44,316.512152908782,81.5122628133101
-43,304.750674727476,75.1343707142706
-42,295.386021215023,63.028282415052
-41,288.957619658707,48.0075377891462
-40,300.700040209862,52.7228652137929
-39,324.254157983173,68.4321363537855
-38,354.178721002113,81.084777934624
-37,373.967880519869,80.9786162000929
-36,380.317435493754,77.1324669624627
-35,381.968256180331,74.7918351433817
-34,378.775363408618,73.3611193642733
-33,380.397689984482,74.1268919215231
-32,388.071302603009,79.2630302501364
-31,396.096695311903,84.2289353633054
-30,404.20234099599,87.9043918118086
-29,406.563509187414,95.3284938314637
-28,402.919241838948,100.120548026531
-27,395.374783296314,99.8914594957377
-26,388.127823923953,97.2255201611302
-25,387.124020061709,96.163005864916
-24,392.558756907926,100.172370220163
-23,407.488118706148,109.632198145825
-22,435.605907567003,121.74462715288
-21,469.92829625301,135.583104978601
-20,508.903022938847,150.823710154606
-19,556.135674702954,162.59729046406
-18,599.616241516119,172.900295820033
-17,640.254279404305,178.60704725105
-16,675.777759211073,178.406017451849
-15,710.842299609838,178.165451989568
-14,738.529266674501,178.881497409017
-13,746.317369635551,182.722754882574
-12,749.251268693019,184.174047008025
-11,739.757359955255,190.882863909085
-10,720.50410493547,194.61800210318
-9,726.666771057131,196.579175214374
-8,740.384537003161,203.032419564274
-7,731.436234036904,210.794780485415
-6,670.906956832868,232.032518953417
-5,600.975031224531,228.618369593688
-4,511.938648576045,180.393512601711
-3,469.160783260328,131.441204458611
-2,490.617123052816,154.208664708741
-1,521.505577612973,180.881416086031
0,525.421243185887,184.744277313342
1,526.983300174714,192.877892299634
2,538.035349092734,209.936968153834
3,538.172031368276,212.6440378881
4,553.405255228241,216.669762171075
5,599.664117890063,230.692468755571
6,674.162199462724,240.500151109758
7,733.477524739261,238.117049912223
8,761.300228803001,227.662735020566
9,777.715289790898,214.369859403409
10,777.172596955779,199.396577022326
11,748.747631569706,195.085292123621
12,698.65392751231,201.518014408854
13,623.793520934935,202.820598441964
14,539.21598292514,184.691550575081
15,473.153359131013,143.56614084446
16,428.330829418514,94.0418179640487
17,401.628274459852,39.6345398634566
18,393.303747867061,26.0629575733897
19,390.794803391007,24.4713719950898
20,395.668072675215,23.3553951080295
21,402.606168792901,18.7035013387898
22,405.119930401542,15.5209183997169
23,294.223694377099,45.7337110324486
24,294.479779843297,47.7514639209284
25,297.339458022173,47.6705671117321
26,297.521704338619,57.80797284925
27,284.000476388583,108.870341563134
28,276.950423167566,114.6606399809
29,268.963050772744,110.93290236984
30,259.480804790941,103.022987148984
31,251.599040740082,90.5212760304341
32,243.747837580071,86.3679385727925
33,236.782904705367,86.0496172821787
34,233.251757132746,88.2325380746283
35,232.488453947036,89.3567231576031
36,236.926292062575,88.3662830805345
37,249.16206814515,90.4709077534388
38,264.401355222022,92.255223345551
39,278.521366391552,91.6594456416333
40,287.540886003309,90.8154910020531
41,284.986224029014,87.1678268420519
42,275.23163750335,82.5004894088073
43,269.919980534506,78.3548943574241
44,267.05305803797,75.1240976362166
45,264.085949579543,73.2793933095388
46,261.490682305425,70.2327541937353
47,256.047394004861,65.1398572418206
48,253.377293189256,58.3825921059596
49,254.813578339402,52.5105348321661
50,259.285973739762,48.2068912437936
51,267.913886463784,46.6834509864028
52,277.378171851456,44.8778078811906
53,287.053976337204,42.5795700429727
54,296.333589099533,38.8309850110716
55,301.970581585029,34.1829926939899
56,307.208918517905,28.2580078812208
57,311.734916082186,26.4036504631896
58,315.799024598516,35.2296771140447
59,324.169558044267,41.7114416264697
60,317.73844489587,43.9038902311415
61,312.48423354405,42.1149895786943
62,308.234055069109,40.1590794478623
63,312.070621657311,43.5322230719355
64,314.56781433623,42.6147232002785
65,306.748676898484,39.7478311385704
66,304.992334255085,37.372721795203
67,303.58666798135,34.412385583961
68,301.710170297909,27.1562206257501
69,305.351378763714,24.4411176631693
70,306.354732781944,22.5950112333839
71,307.239605724074,18.6428823198812
