"Lat","Mean","SD"
-54,782.692994590559,55.3630182487512
-53,781.108524339761,53.6685066347052
-52,771.072609988955,57.8123390459643
-51,770.011784026476,63.5385847943245
-50,766.207404705308,65.0763225247034
-49,758.144200771966,66.7740864379181
-48,759.485809982325,65.1512742187702
-47,742.092720494404,64.6769173725295
-46,729.608604783405,67.2638198066661
-45,720.503712154671,66.3870131630491
-44,707.73118884637,64.7915613488813
-43,703.885930494543,61.8170253806139
-42,703.476451105294,58.9312173610776
-41,699.836904190393,61.1059761099913
-40,699.249585340142,62.1836803219059
-39,695.683285014358,62.6560364655728
-38,685.529004290087,59.1476594115339
-37,693.824654454293,64.1553979600944
-36,704.719314245178,72.2314333539377
-35,712.63733169566,80.0339478703748
-34,716.628541485699,81.0149559228794
-33,708.365882862725,80.7852274283917
-32,699.019861075909,79.9940570295438
-31,691.246397066693,76.9457392954652
-30,687.341119897085,77.8357653947693
-29,689.620583943051,82.8798107584292
-28,692.323250439799,87.00490288328
-27,687.86112266473,88.2738296495261
-26,695.243944596256,116.9714890035
-25,741.784613746932,203.212337321068
-24,819.842667123053,282.110908722956
-23,904.766573177488,327.436757272811
-22,1004.03072201355,362.191831830794
-21,1071.61298912683,380.355985772965
-20,1117.976051113,392.154727056215
-19,1144.13074786813,402.31825141781
-18,1154.69667093509,410.278811773596
-17,1172.83223471063,416.505888783109
-16,1186.25319720027,420.830860929761
-15,1228.79549237014,419.697954798423
-14,1279.68963915502,417.728116551581
-13,1298.61568877353,410.828536703876
-12,1324.39310682417,399.484174467233
-11,1339.75148766922,396.895051037151
-10,1329.51616052502,394.037173900695
-9,1353.30387645518,378.219628298096
-8,1369.04319220089,374.211920002563
-7,1334.07794122976,389.687351059053
-6,1204.26224337214,415.901414180008
-5,1077.89127365327,417.504148128653
-4,938.56170389455,378.656469690109
-3,908.320464541593,373.853013310027
-2,1009.9806016232,426.785032425759
-1,1113.47196927074,454.333913740488
0,1204.02249360132,442.178642372023
1,1296.54354103923,407.963273897407
2,1362.46773454734,369.141543141538
3,1387.77860701193,334.370772378567
4,1396.57344740808,329.081887974776
5,1422.95012786699,342.857652859593
6,1457.68456167189,341.563575615784
7,1482.97658555336,330.873952400015
8,1481.98469970732,321.136065409005
9,1479.50468510064,300.131636046212
10,1481.90711074195,279.830658988457
11,1496.83593984561,258.466000389436
12,1533.93651879843,227.791537527195
13,1561.99373009055,212.067669900573
14,1569.91636211288,204.559336101575
15,1571.38777051552,190.040896991126
16,1560.80574375896,176.39877681264
17,1552.6860241127,156.862011979775
18,1548.20814561549,135.520611699718
19,1540.92072957085,122.955641261925
20,1554.84988979433,114.65317493537
21,1527.86590399778,99.085145882763
22,1475.82509880828,11.7041811035593
23,637.257737017561,69.3798981237136
24,617.84095939535,55.5038979506108
25,617.37010119783,52.9574314288137
26,624.063621127522,64.3159018338239
27,660.90237758372,136.672767910437
28,679.348832734237,127.348126635579
29,687.79973984734,123.47217579481
30,690.39250094334,119.151105933758
31,683.047718269562,105.695524053529
32,677.247854014287,103.902981509124
33,671.345431965486,99.3778293137051
34,664.652031435625,92.8511253177896
35,659.465115560091,86.9003610569359
36,655.544827578371,85.0723090442718
37,659.387247921988,89.9956096361969
38,668.878414291526,99.437793395317
39,678.743355514088,106.071848994874
40,688.303729748538,107.014815234582
41,691.248216535374,104.095123387246
42,687.105522162174,97.9749096130446
43,687.875585675687,89.75121242352
44,686.980722977199,80.9169304678855
45,681.254661152538,74.0007422887859
46,676.823665113096,68.3081340391772
47,672.217374427354,66.6873776298081
48,669.596029520023,67.18347760421
49,671.032193317579,66.0382879419914
50,676.332884341325,65.4094441337484
51,682.279280197563,63.7624658972333
52,690.84786923625,61.4821481959587
53,703.549709282846,63.2346846027067
54,718.874025805121,67.3818181748271
55,729.978033006471,68.475935255428
56,746.720938262505,66.8011523973457
57,760.472844379414,66.6275238035628
58,703.3951231952,84.4260728379743
59,608.947593799112,44.7390424958507
60,613.561992675976,45.6160623350492
61,616.696197071076,46.9167130441855
62,617.239921401492,45.4185383802286
63,620.388457007699,46.453374029145
64,616.070965372538,46.4432524610392
65,611.411208569401,43.4377215473434
66,620.142409540202,43.1495147450102
67,622.3944538529,46.3042105113804
68,624.221940767263,49.9501190470392
69,621.622833226311,53.9484984982568
70,617.689382431953,57.0593391476453
71,612.815873706678,57.4976960246569
