,%IncMSE,Class
MAT,20.97617763,1
MAP,6.876988787,1
SOL,4.941492916,1
PET,4.962465352,1
AI,15.76388797,1
STN,10.56451175,2
SOC,5.554509609,2
PH,7.669931317,2
BD,19.75956631,2
CN,10.01645699,2
SILT,9.937417216,2
CLAY,6.133863991,2
ELEV,10.97197902,3
ASP,6.416242752,3
SLOPE,8.146801053,3
Formation,5.908304674,4
