,%IncMSE,Class
MAT,21.63253518,1
MAP,10.25430025,1
SOL,10.10484124,1
PET,9.739116989,1
AI,14.9551671,1
STN,13.01612176,2
SOC,9.189411321,2
PH,10.8626374,2
BD,20.17757632,2
CN,10.73914702,2
SILT,17.65586493,2
CLAY,8.957143067,2
ELEV,14.05137681,3
ASP,9.355339462,3
SLOPE,9.48600931,3
Formation,9.567054671,4
