,%IncMSE,Class
MAT,14.51649021,1
MAP,15.28824937,1
SOL,10.64936617,1
PET,10.29681672,1
AI,7.349827344,1
STN,8.751848191,2
SOC,7.841944619,2
PH,9.307588596,2
BD,10.32920507,2
CN,13.16649173,2
SILT,7.933429021,2
CLAY,9.931581854,2
ELEV,12.32878114,3
ASP,6.432572262,3
SLOPE,8.322525458,3
Formation,9.759929225,4
