"Lat","Mean","SD"
-54,0.673977561358092,0.0317097794922594
-53,0.680989203143152,0.0261669607243879
-52,0.684818468101588,0.0294057669975736
-51,0.68298219517777,0.0334148565441838
-50,0.682432019322194,0.0305139975373844
-49,0.680651796071982,0.0298521194705519
-48,0.671890088939337,0.0377411291192909
-47,0.64390246027125,0.0739417288996556
-46,0.620123910613996,0.0868327263961705
-45,0.601908382774787,0.0901799316304973
-44,0.59743707903266,0.0908489623475161
-43,0.610437238080173,0.0834658911035664
-42,0.622092318679384,0.0702920503804997
-41,0.6290922642942,0.0542714284234662
-40,0.612067737065969,0.0619370495018188
-39,0.582605720122707,0.0733006539467729
-38,0.552925815132049,0.0774241017641877
-37,0.538849313608308,0.074856755368326
-36,0.536235695595516,0.0740504658705055
-35,0.53887961137458,0.0742651400660092
-34,0.542914069702218,0.074397959972388
-33,0.536243656557701,0.0775409041232694
-32,0.526791690692337,0.0801119935954086
-31,0.514623484893588,0.0831995344262649
-30,0.499466663259924,0.0849686957400488
-29,0.490768211597993,0.0873095526698976
-28,0.48563914758081,0.09236490901838
-27,0.48669024467947,0.0963678488470881
-26,0.49228078198741,0.0979552632547298
-25,0.500092187965051,0.0985673323757917
-24,0.512311160902423,0.0969904777067718
-23,0.517949522890656,0.0939256102737488
-22,0.513538721674323,0.0939361269241178
-21,0.500321988560127,0.0950007888790809
-20,0.474522004820728,0.0956866685815919
-19,0.444729958519899,0.0900372471078582
-18,0.421067335529569,0.0775437434356309
-17,0.404328725373475,0.0629169227339014
-16,0.397967111066196,0.0503730622057525
-15,0.396904895538661,0.0391453753313465
-14,0.399380367752282,0.0366586537528538
-13,0.403865673205096,0.0351517667619071
-12,0.408649658193288,0.0339684850615986
-11,0.416040692934252,0.0345056545536172
-10,0.425893588947418,0.0315656129108132
-9,0.430570882846161,0.0307618638904187
-8,0.431046908167419,0.0285362138401105
-7,0.43100876193308,0.0259031413188203
-6,0.436521773755693,0.0258935015438691
-5,0.440400759139536,0.0229257520146487
-4,0.447511657539582,0.0248001036776626
-3,0.453504662023932,0.0288660103780547
-2,0.463400889830598,0.048716830337721
-1,0.469583551004005,0.0592160304332551
0,0.479629931069724,0.067372369842308
1,0.493945577376475,0.0752849107192934
2,0.501505045497983,0.0797822546534653
3,0.506898817840904,0.0815819631704263
4,0.503534285746554,0.0825105230476852
5,0.487668617297424,0.082534418134912
6,0.463039029330924,0.0761323087597421
7,0.446074147557884,0.0683397985271086
8,0.436456277060073,0.0627499381795451
9,0.429841474952859,0.0582657091410946
10,0.426059063669421,0.0537307218439442
11,0.431605897886531,0.0586032619679648
12,0.448682643948501,0.0714433055450087
13,0.478529000532154,0.0816453982944699
14,0.515904126061092,0.0807465881232182
15,0.54586493922904,0.0675917754964423
16,0.567353950152351,0.0458817299384239
17,0.580073137035999,0.0180127297800981
18,0.583092747975329,0.00940690734767032
19,0.584094136613845,0.00910206089826903
20,0.58491267888995,0.00872285513048617
21,0.587522792081912,0.00736186390959951
22,0.587289334482849,0.00630154584241078
23,0.565836521089076,0.0532952888533735
24,0.590812961611567,0.0453916217536447
25,0.589476626894005,0.046897267791163
26,0.585482200541573,0.0610142358907449
27,0.605741772428785,0.0922314056470469
28,0.611262919360141,0.104332583358741
29,0.610244013232241,0.10518081883744
30,0.612859846881075,0.101422040082872
31,0.612594346496672,0.0952927404949647
32,0.615107763811127,0.093011261295716
33,0.624632816832312,0.0940551381693338
34,0.633686662466685,0.0957310754738542
35,0.642964590718079,0.096729024695625
36,0.645408573874975,0.0944932226107378
37,0.634962759643558,0.0961905810408412
38,0.622021695576063,0.0972139657961131
39,0.609379414791467,0.0961599041307715
40,0.602381658238201,0.0968634011133486
41,0.608202880441855,0.0958859920854852
42,0.619467756394659,0.0925293049846615
43,0.6238203596492,0.0881430091951538
44,0.628144804042065,0.0820119502101073
45,0.63000762174963,0.0757447245010368
46,0.631406155511577,0.0725013602899574
47,0.638399664989597,0.0708695023280173
48,0.642400159961285,0.0702675348244335
49,0.644877772835084,0.0713126086098125
50,0.644389861855149,0.0731019615848766
51,0.63749069286171,0.0755663293750834
52,0.629217451670017,0.0770572247119838
53,0.620376025862067,0.0775284481055195
54,0.614225045128669,0.0762920884126851
55,0.611629618620023,0.0752815008361695
56,0.611092863733756,0.0745688314321219
57,0.610997601999303,0.0712486702851155
58,0.588791264735499,0.0644083573834414
59,0.545201806219834,0.0157289510401409
60,0.54909260286012,0.0189495764069301
61,0.55008165798585,0.0199239129908914
62,0.551080085722769,0.0206024232238385
63,0.549632790029999,0.0221389871473188
64,0.544861175103437,0.0190435891807987
65,0.545204650043873,0.013296354665706
66,0.546736779437961,0.0147798558505741
67,0.552182174316815,0.0258617622217861
68,0.56162631246595,0.0382477223381929
69,0.561371406233358,0.0418388438903454
70,0.564717003661118,0.0458192374990807
71,0.564869750956731,0.0479814112738703
